name,genres
X: Beyond the Frontier,"[{'id': '28', 'description': 'Simulation'}, {'id': '2', 'description': 'Strategy'}]"
X: Tension,"[{'id': '28', 'description': 'Simulation'}, {'id': '2', 'description': 'Strategy'}]"
X Rebirth,"[{'id': '1', 'description': 'Action'}, {'id': '28', 'description': 'Simulation'}]"
688(I) Hunter/Killer,"[{'id': '2', 'description': 'Strategy'}]"
Fleet Command,"[{'id': '2', 'description': 'Strategy'}]"
Sub Command,"[{'id': '2', 'description': 'Strategy'}]"
FlatOut 2™,"[{'id': '9', 'description': 'Racing'}]"
Xpand Rally,"[{'id': '9', 'description': 'Racing'}]"
Call of Juarez™,"[{'id': '1', 'description': 'Action'}]"
Xpand Rally Xtreme,"[{'id': '9', 'description': 'Racing'}]"
Men of War: Red Tide,"[{'id': '2', 'description': 'Strategy'}]"
King's Bounty: Armored Princess,"[{'id': '3', 'description': 'RPG'}, {'id': '2', 'description': 'Strategy'}]"
Genesis Rising,"[{'id': '2', 'description': 'Strategy'}]"
Safecracker: The Ultimate Puzzle Adventure,"[{'id': '25', 'description': 'Adventure'}, {'id': '4', 'description': 'Casual'}]"
Painkiller Overdose,"[{'id': '1', 'description': 'Action'}]"
Bejeweled 2 Deluxe,"[{'id': '4', 'description': 'Casual'}]"
Chuzzle Deluxe,"[{'id': '4', 'description': 'Casual'}]"
Insaniquarium Deluxe,"[{'id': '4', 'description': 'Casual'}]"
Zuma Deluxe,"[{'id': '4', 'description': 'Casual'}]"
AstroPop Deluxe,"[{'id': '4', 'description': 'Casual'}]"
Bejeweled Deluxe,"[{'id': '4', 'description': 'Casual'}]"
Big Money! Deluxe,"[{'id': '4', 'description': 'Casual'}]"
Dynomite Deluxe,"[{'id': '4', 'description': 'Casual'}]"
Feeding Frenzy 2 Deluxe,"[{'id': '4', 'description': 'Casual'}]"
Hammer Heads Deluxe,"[{'id': '4', 'description': 'Casual'}]"
Heavy Weapon Deluxe,"[{'id': '4', 'description': 'Casual'}]"
Iggle Pop Deluxe,"[{'id': '4', 'description': 'Casual'}]"
Pizza Frenzy Deluxe,"[{'id': '4', 'description': 'Casual'}]"
Rocket Mania Deluxe,"[{'id': '4', 'description': 'Casual'}]"
Typer Shark! Deluxe,"[{'id': '4', 'description': 'Casual'}]"
Talismania Deluxe,"[{'id': '4', 'description': 'Casual'}]"
Peggle Deluxe,"[{'id': '4', 'description': 'Casual'}]"
Peggle Extreme,"[{'id': '4', 'description': 'Casual'}]"
Venice Deluxe,"[{'id': '4', 'description': 'Casual'}]"
Mystery P.I.™ - The Lottery Ticket,"[{'id': '4', 'description': 'Casual'}]"
Amazing Adventures The Lost Tomb™,"[{'id': '4', 'description': 'Casual'}]"
Mystery P.I.™ - The Vegas Heist,"[{'id': '4', 'description': 'Casual'}]"
Amazing Adventures Around the World,"[{'id': '4', 'description': 'Casual'}]"
Peggle™ Nights,"[{'id': '4', 'description': 'Casual'}]"
Bejeweled Twist,"[{'id': '2', 'description': 'Strategy'}, {'id': '4', 'description': 'Casual'}]"
Mystery P.I.™ - The New York Fortune,"[{'id': '4', 'description': 'Casual'}]"
The Wizard's Pen™,"[{'id': '4', 'description': 'Casual'}]"
Plants vs. Zombies GOTY Edition,"[{'id': '2', 'description': 'Strategy'}]"
Escape Rosecliff Island,"[{'id': '4', 'description': 'Casual'}]"
Mystery P.I. - Lost in Los Angeles,"[{'id': '4', 'description': 'Casual'}]"
Zuma's Revenge!,"[{'id': '1', 'description': 'Action'}, {'id': '4', 'description': 'Casual'}]"
Sniper Elite,"[{'id': '1', 'description': 'Action'}]"
Judge Dredd: Dredd vs. Death,"[{'id': '1', 'description': 'Action'}]"
Evil Genius,"[{'id': '2', 'description': 'Strategy'}]"
Aliens versus Predator Classic 2000,"[{'id': '1', 'description': 'Action'}]"
Advent Rising,"[{'id': '1', 'description': 'Action'}]"
BloodRayne,"[{'id': '1', 'description': 'Action'}]"
BloodRayne 2,"[{'id': '1', 'description': 'Action'}]"
Psychonauts,"[{'id': '1', 'description': 'Action'}]"
Sid Meier's Civilization® IV,"[{'id': '2', 'description': 'Strategy'}]"
Sid Meier's Civilization® III Complete,"[{'id': '2', 'description': 'Strategy'}]"
Sid Meier's Pirates!,"[{'id': '3', 'description': 'RPG'}]"
Shattered Union,"[{'id': '2', 'description': 'Strategy'}]"
CivCity: Rome,"[{'id': '2', 'description': 'Strategy'}]"
Civilization IV®: Warlords,"[{'id': '2', 'description': 'Strategy'}]"
Garry's Mod,"[{'id': '23', 'description': 'Indie'}, {'id': '28', 'description': 'Simulation'}]"
Poker Superstars II,"[{'id': '4', 'description': 'Casual'}, {'id': '2', 'description': 'Strategy'}, {'id': '23', 'description': 'Indie'}]"
RACE - The WTCC Game,"[{'id': '9', 'description': 'Racing'}]"
RACE: Caterham Expansion,"[{'id': '9', 'description': 'Racing'}]"
RoboBlitz,"[{'id': '1', 'description': 'Action'}, {'id': '23', 'description': 'Indie'}]"
Half-Life: Opposing Force,
Silverfall,"[{'id': '3', 'description': 'RPG'}]"
City Life 2008,"[{'id': '28', 'description': 'Simulation'}, {'id': '2', 'description': 'Strategy'}]"
Silverfall: Earth Awakening,"[{'id': '3', 'description': 'RPG'}]"
S.T.A.L.K.E.R.: Shadow of Chernobyl,"[{'id': '1', 'description': 'Action'}, {'id': '3', 'description': 'RPG'}]"
Full Spectrum Warrior,"[{'id': '1', 'description': 'Action'}, {'id': '2', 'description': 'Strategy'}]"
Full Spectrum Warrior: Ten Hammers,"[{'id': '1', 'description': 'Action'}, {'id': '2', 'description': 'Strategy'}]"
Company of Heroes - Legacy Edition,"[{'id': '73', 'description': 'Violent'}, {'id': '1', 'description': 'Action'}, {'id': '2', 'description': 'Strategy'}]"
"Warhammer® 40,000: Dawn of War® - Game of the Year Edition","[{'id': '2', 'description': 'Strategy'}]"
"Warhammer® 40,000: Dawn of War® - Dark Crusade","[{'id': '2', 'description': 'Strategy'}]"
Total War: MEDIEVAL II – Definitive Edition,"[{'id': '2', 'description': 'Strategy'}]"
Condemned: Criminal Origins,"[{'id': '1', 'description': 'Action'}]"
Rome: Total War™ - Collection,"[{'id': '2', 'description': 'Strategy'}]"
Rome: Total War™ - Alexander,"[{'id': '2', 'description': 'Strategy'}]"
Medieval II: Total War™ Kingdoms,"[{'id': '2', 'description': 'Strategy'}]"
Heroes of Annihilated Empires,"[{'id': '2', 'description': 'Strategy'}]"
Cossacks: Back to War,"[{'id': '2', 'description': 'Strategy'}]"
Cossacks: Art of War,"[{'id': '2', 'description': 'Strategy'}]"
Cossacks: European Wars,"[{'id': '2', 'description': 'Strategy'}]"
Cossacks II: Battle for Europe,"[{'id': '2', 'description': 'Strategy'}]"
Zen of Sudoku,"[{'id': '4', 'description': 'Casual'}, {'id': '23', 'description': 'Indie'}]"
Natural Selection 2,"[{'id': '1', 'description': 'Action'}, {'id': '23', 'description': 'Indie'}, {'id': '2', 'description': 'Strategy'}]"
STAR WARS™ Republic Commando™,"[{'id': '1', 'description': 'Action'}]"
Indiana Jones® and the Fate of Atlantis™,"[{'id': '25', 'description': 'Adventure'}]"
STAR WARS™ Jedi Knight - Jedi Academy™,"[{'id': '1', 'description': 'Action'}]"
STAR WARS™ Jedi Knight II - Jedi Outcast™,"[{'id': '1', 'description': 'Action'}]"
The Dig®,"[{'id': '25', 'description': 'Adventure'}]"
"Star Wars: Battlefront 2 (Classic, 2005)","[{'id': '1', 'description': 'Action'}]"
Thrillville®: Off the Rails™,"[{'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}, {'id': '9', 'description': 'Racing'}, {'id': '28', 'description': 'Simulation'}, {'id': '2', 'description': 'Strategy'}]"
Armed and Dangerous®,"[{'id': '1', 'description': 'Action'}]"
Shank,"[{'id': '1', 'description': 'Action'}, {'id': '23', 'description': 'Indie'}]"
Ghost Master®,"[{'id': '2', 'description': 'Strategy'}]"
Vegas: Make It Big™,"[{'id': '2', 'description': 'Strategy'}]"
FlatOut,"[{'id': '9', 'description': 'Racing'}]"
Making History: The Calm & the Storm,"[{'id': '1', 'description': 'Action'}, {'id': '2', 'description': 'Strategy'}]"
Ducati World Championship,"[{'id': '9', 'description': 'Racing'}]"
Dreamfall: The Longest Journey,"[{'id': '25', 'description': 'Adventure'}, {'id': '3', 'description': 'RPG'}]"
The Longest Journey,"[{'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}, {'id': '3', 'description': 'RPG'}]"
Bloodline Champions,"[{'id': '1', 'description': 'Action'}, {'id': '37', 'description': 'Free to Play'}, {'id': '29', 'description': 'Massively Multiplayer'}]"
Joint Task Force,"[{'id': '1', 'description': 'Action'}, {'id': '2', 'description': 'Strategy'}]"
Nexus - The Jupiter Incident,"[{'id': '23', 'description': 'Indie'}, {'id': '28', 'description': 'Simulation'}, {'id': '2', 'description': 'Strategy'}]"
Lost Planet™: Extreme Condition,"[{'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}]"
Devil May Cry® 3 Special Edition,"[{'id': '1', 'description': 'Action'}]"
Bullet Candy,"[{'id': '4', 'description': 'Casual'}, {'id': '23', 'description': 'Indie'}]"
Commandos: Behind Enemy Lines,"[{'id': '1', 'description': 'Action'}]"
Commandos: Beyond the Call of Duty,"[{'id': '1', 'description': 'Action'}]"
Commandos 2: Men of Courage,"[{'id': '1', 'description': 'Action'}]"
Commandos 3: Destination Berlin,"[{'id': '1', 'description': 'Action'}]"
Hitman 2: Silent Assassin,"[{'id': '1', 'description': 'Action'}]"
Hitman: Blood Money,"[{'id': '1', 'description': 'Action'}]"
Battlestations: Midway,"[{'id': '1', 'description': 'Action'}]"
Just Cause,"[{'id': '1', 'description': 'Action'}]"
Hitman: Codename 47,"[{'id': '1', 'description': 'Action'}]"
Deus Ex: Game of the Year Edition,"[{'id': '1', 'description': 'Action'}]"
Deus Ex: Invisible War,"[{'id': '1', 'description': 'Action'}]"
Thief: Deadly Shadows,"[{'id': '1', 'description': 'Action'}]"
Tomb Raider: Legend,"[{'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}]"
Project: Snowblind,"[{'id': '1', 'description': 'Action'}]"
Rogue Trooper,"[{'id': '1', 'description': 'Action'}]"
Jade Empire™: Special Edition,"[{'id': '3', 'description': 'RPG'}]"
Trackmania United Forever Star Edition,"[{'id': '9', 'description': 'Racing'}]"
"Runaway, A Road Adventure","[{'id': '25', 'description': 'Adventure'}]"
"Runaway, The Dream of The Turtle","[{'id': '25', 'description': 'Adventure'}]"
Loki,"[{'id': '3', 'description': 'RPG'}]"
Azada,"[{'id': '4', 'description': 'Casual'}, {'id': '23', 'description': 'Indie'}]"
X-Blades,"[{'id': '72', 'description': 'Nudity'}, {'id': '73', 'description': 'Violent'}, {'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}, {'id': '3', 'description': 'RPG'}]"
Two Worlds II HD,"[{'id': '72', 'description': 'Nudity'}, {'id': '73', 'description': 'Violent'}, {'id': '3', 'description': 'RPG'}]"
Two Worlds II Castle Defense,"[{'id': '2', 'description': 'Strategy'}]"
Sid Meier's Railroads!,"[{'id': '2', 'description': 'Strategy'}]"
Railroad Tycoon 3,"[{'id': '2', 'description': 'Strategy'}]"
Railroad Tycoon II Platinum,"[{'id': '2', 'description': 'Strategy'}]"
X-COM: Terror From the Deep,"[{'id': '2', 'description': 'Strategy'}]"
X-COM: Apocalypse,"[{'id': '2', 'description': 'Strategy'}]"
BioShock™,"[{'id': '1', 'description': 'Action'}, {'id': '3', 'description': 'RPG'}]"
X-COM: Interceptor,"[{'id': '2', 'description': 'Strategy'}]"
X-COM: UFO Defense,"[{'id': '2', 'description': 'Strategy'}]"
X-COM: Enforcer,"[{'id': '2', 'description': 'Strategy'}]"
