name,genres
Men of War™,"[{'id': '2', 'description': 'Strategy'}]"
Death Track®: Resurrection,"[{'id': '9', 'description': 'Racing'}]"
NecroVision,"[{'id': '1', 'description': 'Action'}]"
Call of Duty® 4: Modern Warfare®,"[{'id': '1', 'description': 'Action'}]"
Tomb Raider: Anniversary,"[{'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}]"
Kane and Lynch: Dead Men™,"[{'id': '1', 'description': 'Action'}]"
Conflict: Denied Ops,"[{'id': '1', 'description': 'Action'}]"
Tomb Raider: Underworld,"[{'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}]"
Battlestations Pacific,"[{'id': '1', 'description': 'Action'}, {'id': '2', 'description': 'Strategy'}]"
Just Cause 2,"[{'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}]"
Sam & Max 101: Culture Shock,"[{'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}]"
Sam & Max 102: Situation: Comedy,"[{'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}]"
"Sam & Max 103: The Mole, the Mob and the Meatball","[{'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}]"
Sam & Max 104: Abe Lincoln Must Die!,"[{'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}]"
Sam & Max 105: Reality 2.0,"[{'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}]"
Sam & Max 106: Bright Side of the Moon,"[{'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}]"
Sam & Max 201: Ice Station Santa,"[{'id': '25', 'description': 'Adventure'}]"
Sam & Max 202: Moai Better Blues,"[{'id': '25', 'description': 'Adventure'}]"
Sam & Max 203: Night of the Raving Dead,"[{'id': '25', 'description': 'Adventure'}]"
Sam & Max 204: Chariots of the Dogs,"[{'id': '25', 'description': 'Adventure'}]"
Sam & Max 205: What's New Beelzebub?,"[{'id': '25', 'description': 'Adventure'}]"
Bone: Out From Boneville,"[{'id': '25', 'description': 'Adventure'}]"
Bone: The Great Cow Race,"[{'id': '25', 'description': 'Adventure'}]"
Telltale Texas Hold ‘Em,"[{'id': '4', 'description': 'Casual'}]"
Strong Bad's Cool Game for Attractive People: Season 1,"[{'id': '25', 'description': 'Adventure'}]"
Strong Bad's Cool Game for Attractive People: Episode 2,"[{'id': '25', 'description': 'Adventure'}]"
Strong Bad's Cool Game for Attractive People: Episode 3,"[{'id': '25', 'description': 'Adventure'}]"
Strong Bad's Cool Game for Attractive People: Episode 4,"[{'id': '25', 'description': 'Adventure'}]"
Strong Bad's Cool Game for Attractive People: Episode 5,"[{'id': '25', 'description': 'Adventure'}]"
Geometry Wars: Retro Evolved,"[{'id': '4', 'description': 'Casual'}]"
EVE Online,"[{'id': '1', 'description': 'Action'}, {'id': '37', 'description': 'Free to Play'}, {'id': '29', 'description': 'Massively Multiplayer'}, {'id': '3', 'description': 'RPG'}, {'id': '2', 'description': 'Strategy'}]"
RACE 07,"[{'id': '9', 'description': 'Racing'}]"
Half-Life: Opposing Force,
GTR 2 FIA GT Racing Game,"[{'id': '9', 'description': 'Racing'}, {'id': '28', 'description': 'Simulation'}, {'id': '18', 'description': 'Sports'}]"
Civilization IV: Beyond the Sword,"[{'id': '2', 'description': 'Strategy'}]"
BioShock® 2,"[{'id': '1', 'description': 'Action'}]"
BioShock Infinite,"[{'id': '1', 'description': 'Action'}]"
Freedom Force,"[{'id': '3', 'description': 'RPG'}, {'id': '2', 'description': 'Strategy'}]"
Freedom Force vs. the Third Reich,"[{'id': '3', 'description': 'RPG'}, {'id': '2', 'description': 'Strategy'}]"
Sid Meier's Civilization® V,"[{'id': '2', 'description': 'Strategy'}]"
Half-Life: Opposing Force,
Axel & Pixel,"[{'id': '23', 'description': 'Indie'}]"
Borderlands Game of the Year,"[{'id': '1', 'description': 'Action'}, {'id': '3', 'description': 'RPG'}]"
Spear of Destiny,"[{'id': '1', 'description': 'Action'}]"
Return to Castle Wolfenstein,"[{'id': '1', 'description': 'Action'}]"
QUAKE Mission Pack 2: Dissolution of Eternity,"[{'id': '1', 'description': 'Action'}]"
QUAKE Mission Pack 1: Scourge of Armagon,"[{'id': '1', 'description': 'Action'}]"
DOOM 3,"[{'id': '1', 'description': 'Action'}]"
HeXen II,"[{'id': '1', 'description': 'Action'}]"
Master Levels for Doom II,"[{'id': '1', 'description': 'Action'}]"
Commander Keen,"[{'id': '1', 'description': 'Action'}]"
RAGE,"[{'id': '1', 'description': 'Action'}]"
"Warhammer® 40,000: Dawn of War® – Winter Assault","[{'id': '2', 'description': 'Strategy'}]"
Company of Heroes: Opposing Fronts,"[{'id': '1', 'description': 'Action'}, {'id': '2', 'description': 'Strategy'}]"
Supreme Commander,"[{'id': '2', 'description': 'Strategy'}]"
Supreme Commander: Forged Alliance,"[{'id': '2', 'description': 'Strategy'}]"
"Warhammer® 40,000: Dawn of War® - Soulstorm","[{'id': '2', 'description': 'Strategy'}]"
